facID,init,notice,total
115536,WBW,P60582,2875
164571,NAS,6081-1,1000
164571,NAS,P61314,1000
176339,BST,P63964,3000
148895,BST,P59396,6500
148897,BST,P65303,6500
151899,BST,P65304,6500
164709,BST,P65305,6500
16389,NSF,P63668,41000
16389,NSF,P63680,41000
800030,TRB,P26993,375500
800030,TRB,P48743,375500
800030,TRB,P48744,375500
800030,TRB,P48745,375500
800030,TRB,P48746,375500
800030,TRB,P48748,375500
38440,ML,P62060,250
800089,DH,P56623,47750
800089,DH,P61021,47750
800066,BST,P62810,80000
178689,NAS,P62012,3500
92380,BST,P64004,5000
182970,BST,P65310,3200
18294,BST,P64414,2500
181838,WBW,P61993,1000
181838,WBW,P61996,1000
157653,NSF,P64815,1500
174655,NSF,P45975,246500
174655,NSF,P45977,246500
174655,NSF,P45978,246500
174655,NSF,P45979,246500
174655,NSF,P45980,246500
174655,NSF,P45981,246500
13011,BST,P60538,6000
160141,DH,P64852,5500
181667,DH,P63409,50000
169754,TRB,P37241,1500000
169754,TRB,P37242,1500000
169754,TRB,P37247,1500000
169754,TRB,P62958,1500000
184393,JS,P59692,300
179857,JS,P65359,1375
184887,TF,P64760,1650
184887,TF,P64761,1650
90847,GC,P63672,1275
152675,GV,P64917,400
172841,TF,P66657,225
26098,TF,P65720,1000
165820,TF,P56997,1650
138015,TF,P66251,800
13920,GV,P63862,1700
155425,GV,P64976,800
179724,GV,P65723,520
181223,GV,P60689,2400
4477,GV,P60585,2000
153780,GV,P65023,1000
118056,GV,P66901,450
171660,TF,P64978,14850
185040,GV,P65555,800
94488,GV,P57401,2400
153320,GV,P63762,1000
